Station,Latitude,Longitude,Cluster,CurrentInventory,OptimalInventory,InventoryDiff,BCRF
5,40.7482,-73.8794,1,3,16,-13,0.000571718
8,40.7028,-73.9333,1,16,8,8,0.000574625
11,40.7584,-73.8953,1,18,10,8,0.000944417
13,40.7256,-73.9443,1,46,38,8,0.000863125
14,40.7625,-73.9025,1,3,6,-3,0.000882778
18,40.7069,-73.9285,1,16,9,7,0.000595143
32,40.6906,-73.9575,1,10,5,5,0.000500333
38,40.6886,-73.9123,1,10,11,-1,0.0002645
43,40.7183,-73.9013,1,17,17,0,0
46,40.7368,-73.8732,1,19,17,2,0.000295083
47,40.7552,-73.9486,1,20,2,18,0.00103228
49,40.7533,-73.9434,1,1,6,-5,0.00198367
51,40.653,-73.946,1,6,2,4,0.000611917
53,40.7188,-73.9395,1,10,4,6,0.000443611
57,40.7011,-73.9142,1,9,17,-8,0.000979
68,40.7443,-73.926,1,5,20,-15,0.000728578
69,40.753,-73.8727,1,0,20,-20,0.000873367
78,40.7132,-73.9389,1,16,11,5,0.001439
81,40.7462,-73.8719,1,2,19,-17,0.000741598
87,40.7343,-73.9837,1,10,4,6,0.000549444
88,40.7446,-73.8739,1,1,17,-16,0.00109282
94,40.693,-73.9082,1,5,15,-10,0.000896533
97,40.7461,-73.8527,1,25,19,6,0.000284306
104,40.7473,-73.912,1,6,10,-4,0.000171667
106,40.7424,-73.9181,1,4,14,-10,0.00066165
114,40.6742,-73.9166,1,13,17,-4,0.000576833
117,40.6792,-73.9259,1,14,10,4,0.000310583
118,40.7436,-73.8862,1,6,4,2,0.000424333
120,40.7468,-73.9089,1,10,17,-7,0.000913643
122,40.78,-73.9067,1,9,1,8,0.00105388
124,40.6968,-73.9376,1,16,13,3,0.000267778
128,40.7645,-73.9046,1,14,8,6,0.000423806
134,40.6582,-73.9338,1,16,14,2,0.0001735
137,40.7524,-73.8672,1,6,19,-13,0.000815833
138,40.701,-73.9392,1,29,19,10,0.0023545
141,40.6787,-73.9111,1,15,13,2,0.00021425
143,40.6978,-73.9262,1,16,19,-3,0.000462222
144,40.7526,-73.9728,1,4,3,1,0.000281667
148,40.7518,-73.8857,1,4,21,-17,0.000813333
150,40.7749,-73.9342,1,16,15,1,0.000122833
154,40.7576,-73.8868,1,10,14,-4,0.000197625
155,40.7126,-73.9606,1,21,16,5,0.000321333
158,40.6968,-73.923,1,18,21,-3,0.000663333
163,40.7554,-73.9115,1,7,1,6,0.000525444
164,40.7298,-73.9484,1,38,3,35,0.00110738
165,40.702,-73.8929,1,11,16,-5,0.000677833
166,40.7471,-73.9028,1,9,7,2,0.000659167
171,40.7392,-73.8526,1,13,15,-2,0.0001175
174,40.7419,-73.9091,1,1,12,-11,0.000892136
181,40.753,-73.8924,1,16,18,-2,0.000315417
185,40.7579,-73.8576,1,1,3,-2,0.000652667
187,40.698,-73.9127,1,2,4,-2,0.000471333
190,40.7134,-73.9491,1,10,10,0,0
191,40.6797,-73.9347,1,8,6,2,0.000188167
194,40.7435,-73.9186,1,7,12,-5,0.000447
198,40.7392,-73.8689,1,18,18,0,0
200,40.7426,-73.903,1,5,14,-9,0.000950833
202,40.754,-73.8689,1,2,20,-18,0.00113359
209,40.748,-73.9467,1,16,8,8,0.000708333
212,40.7516,-73.8591,1,7,9,-2,0.000138167
