StationID,StationName,Latitude,Longitude,Capacity,CurrentInventory,Optimal Inventory,Min UDF,UDF(0),UDF(1),UDF(2),UDF(3),UDF(4),UDF(5),UDF(6),UDF(7),UDF(8),UDF(9),UDF(10),UDF(11),UDF(12),UDF(13),UDF(14),UDF(15),UDF(16),UDF(17),UDF(18),UDF(19),UDF(20),UDF(21),UDF(22),UDF(23),UDF(24),UDF(25),UDF(26),UDF(27),UDF(28),UDF(29),UDF(30),UDF(31),UDF(32),UDF(33),UDF(34),UDF(35),UDF(36),UDF(37),UDF(38),UDF(39),UDF(40),UDF(41),UDF(42),UDF(43),UDF(44),UDF(45),UDF(46),UDF(47),UDF(48),UDF(49),UDF(50),UDF(51),UDF(52),UDF(53),UDF(54),UDF(55),UDF(56),UDF(57),UDF(58),UDF(59),UDF(60),UDF(61),UDF(62),UDF(63),UDF(64),UDF(65),UDF(66),UDF(67),UDF(68),UDF(69),UDF(70),UDF(71),UDF(72),UDF(73),UDF(74),UDF(75),UDF(76),UDF(77),UDF(78),UDF(79),UDF(80),UDF(81),UDF(82),UDF(83),UDF(84),UDF(85),UDF(86),UDF(87),UDF(88),UDF(89),UDF(90),UDF(91),UDF(92),UDF(93),UDF(94),UDF(95),UDF(96),UDF(97),UDF(98),UDF(99),UDF(100),UDF(101),UDF(102),UDF(103),UDF(104),UDF(105),UDF(106),UDF(107),UDF(108),UDF(109),UDF(110),UDF(111),UDF(112),UDF(113),UDF(114),UDF(115),UDF(116),UDF(117),UDF(118),UDF(119),UDF(120),UDF(121),UDF(122),UDF(123)
0007398f39bd26118c9fdfd5197ccada,Chester Ave & 12 Ave,40.644367,-73.984276,21,12,20,2.63193,3.68365,3.58858,3.52468,3.46220,3.40133,3.34253,3.28544,3.22972,3.17512,3.12134,3.06800,3.01486,2.96190,2.90940,2.85788,2.80802,2.76057,2.71631,2.67613,2.64248,2.63193,2.73391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0096a3255aa8247f5a60322c9173d420,W 56 St & 8 Ave,40.765959181658,-73.9831352233887,50,2,35,26.01400,28.96080,28.67950,28.32100,28.02790,27.81810,27.66270,27.53660,27.42690,27.32790,27.23680,27.15170,27.07140,26.99510,26.92220,26.85210,26.78460,26.71950,26.65670,26.59620,26.53800,26.48210,26.42860,26.37760,26.32920,26.28350,26.24060,26.20080,26.16410,26.13080,26.10110,26.07520,26.05340,26.03600,26.02330,26.01590,26.01400,26.01830,26.02920,26.04750,26.07400,26.10970,26.15630,26.21590,26.29170,26.38810,26.51180,26.67450,26.89680,27.20140,27.56850,27.85790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009750d7dc4dec3f0fc06547e41ba3a8,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,27,4,5,24.04150,24.79040,24.48860,24.24040,24.10310,24.04660,24.04150,24.06700,24.10980,24.16320,24.22420,24.29190,24.36620,24.44680,24.53330,24.62450,24.71900,24.81460,24.90940,25.00160,25.09010,25.17510,25.25800,25.34200,25.43420,25.55140,25.73170,26.02440,26.35130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00b598603e95ff6cd619487b42e1b87c,E 78 St & 2 Ave,40.7727966,-73.95577801,25,9,21,29.91800,31.81400,31.51290,31.29680,31.15080,31.03540,30.93470,30.84320,30.75830,30.67850,30.60300,30.53090,30.46180,30.39530,30.33080,30.26800,30.20650,30.14630,30.08790,30.03220,29.98150,29.94050,29.91800,29.93240,30.02490,30.26300,30.60260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00c998e78f71ad6b1a865fb2906d4326,87 St & Roosevelt Ave,40.74825,-73.87936,23,3,16,1.95563,2.76063,2.58600,2.48294,2.40157,2.33298,2.27416,2.22239,2.17545,2.13217,2.09235,2.05638,2.02495,1.99878,1.97842,1.96428,1.95662,1.95563,1.96158,1.97507,1.99786,2.03487,2.10023,2.23555,2.51958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00f0ea447a1af60aa053a510d944e623,E 157 St & River Ave,40.825737,-73.927311,19,10,13,3.98264,4.77148,4.52937,4.42059,4.35599,4.29980,4.24599,4.19504,4.14797,4.10527,4.06726,4.03462,4.00860,3.99076,3.98264,3.98563,4.00142,4.03395,4.09465,4.21942,4.47910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00f703e13e3bb5f7d5f2516656495d1f,E 17 St & Broadway,40.737006,-73.990134,78,12,16,90.74740,93.59220,93.28210,92.83630,92.41970,92.07980,91.80340,91.57280,91.37880,91.21760,91.08670,90.98300,90.90310,90.84340,90.80060,90.77170,90.75460,90.74740,90.74840,90.75650,90.77040,90.78930,90.81230,90.83860,90.86770,90.89920,90.93250,90.96730,91.00360,91.04100,91.07950,91.11890,91.15920,91.20030,91.24230,91.28510,91.32860,91.37290,91.41800,91.46380,91.51040,91.55760,91.60560,91.65430,91.70370,91.75370,91.80440,91.85580,91.90790,91.96050,92.01380,92.06780,92.12230,92.17740,92.23320,92.28960,92.34650,92.40410,92.46240,92.52130,92.58090,92.64130,92.70240,92.76450,92.82740,92.89120,92.95600,93.02180,93.08850,93.15630,93.22500,93.29490,93.36640,93.44060,93.52080,93.61500,93.74220,93.93210,94.19280,94.42740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010f92292461543f36314829cb02afac,Central Ave & Flushing Ave,40.702831,-73.9333,21,16,8,7.42520,7.90516,7.68763,7.59649,7.54292,7.50140,7.46879,7.44519,7.43073,7.42520,7.42827,7.43969,7.45946,7.48790,7.52557,7.57313,7.63122,7.70102,7.78610,7.89558,8.04559,8.25556,8.54366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015f8c90cb9c0e8ebb1f11e4aeeaaa87,E 149 St & Eagle Ave,40.814046,-73.91186,19,7,8,9.15831,9.50789,9.41498,9.35268,9.30026,9.25299,9.21290,9.18268,9.16428,9.15831,9.16352,9.17718,9.19594,9.21690,9.23820,9.25915,9.28014,9.30299,9.33558,9.41658,9.64821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016e6bded5e3d261c6fd60f3e8f47e71,E 165 St & Jerome Ave,40.83263,-73.925101,21,11,17,0.73172,1.30826,1.24206,1.18231,1.13039,1.08298,1.03889,0.99782,0.95962,0.92409,0.89102,0.86027,0.83183,0.80579,0.78246,0.76232,0.74621,0.73541,0.73172,0.73781,0.75881,0.80544,0.90117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
017b3b8e28384f4e55952ee8851a5c71,72 St & 31 Ave,40.7584,-73.89531,21,18,10,8.42751,8.95623,8.84257,8.75971,8.68268,8.61319,8.55451,8.50792,8.47301,8.44865,8.43373,8.42751,8.42964,8.44025,8.45998,8.49044,8.53526,8.60242,8.70815,8.88083,9.16158,9.58582,10.03810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
